Título de la pista,Artista,BPM,Tiempo,Tonalidad,Ubicación,Comentarios,Fecha añadida
SAOKO,Rosalía,"99,92",2:17,Em,/Users/Hit/Desktop/+100/Rosalía - SAOKO.mp3,5A,2022-02-08
Soundgasm,Rema,"100,00",3:24,Abm,/Users/Hit/Desktop/+100/Rema - Soundgasm.mp3,12A,2022-02-08
MCM,NSG,"100,00",3:11,Fm,/Users/Hit/Desktop/+100/NSG - MCM.mp3,4A,2022-02-08
01 Missy Riddim,CHAMOS x Aizen Sama,"100,00",1:57,Cm,/Users/Hit/Desktop/+100/01 Missy Riddim.mp3,5A,2022-02-08
SO FINE (feat. Zefanio & Latifah),DJ DYLVN,"100,00",2:26,F#m,/Users/Hit/Desktop/+100/DJ DYLVN - SO FINE (feat. Zefanio & Latifah).mp3,11A,2022-02-08
24/7,Rasskulz,"101,00",1:56,F#,/Users/Hit/Desktop/+100/Rasskulz - 24-7.mp3,3A,2022-02-08
"The Kid LAROI, Justin Bieber - STAY (Sico Vox & Brad Braxton Remix)",Sico Vox & Brad Braxton,"102,00",2:21,Db,"/Users/Hit/Desktop/+100/The Kid LAROI, Justin Bieber - STAY (Sico Vox & Brad Braxton Remix).mp3",4B,2022-02-08
B. D’OR (feat. Wizkid),Burna Boy,"104,00",3:09,Em,/Users/Hit/Desktop/+100/Burna Boy - B. D’OR (feat. Wizkid).mp3,9A,2022-02-08
Domme Invest,Chivv,"105,00",3:04,Gm,/Users/Hit/Desktop/+100/Chivv - Domme Invest.mp3,6A,2022-02-08
Peru,Fireboy Dml,"108,00",2:31,Cm,/Users/Hit/Desktop/+100/Fireboy Dml - Peru.mp3,6A,2022-02-08
SAD GIRLZ LUV MONEY,amaarae,"110,03",3:24,Dbm,/Users/Hit/Desktop/+100/amaarae - SAD GIRLZ LUV MONEY (Remix).mp3,12A,2022-02-08
Desacato Escolar,"Leo RD, Tokischa & Yomel El Meloso","110,00",2:37,Ebm,/Users/Hit/Desktop/+100/01 Desacato Escolar.m4a,2A,2022-02-08
ATM,Bree Runway,"111,00",3:08,E,/Users/Hit/Desktop/+100/Bree Runway - ATM.mp3,9A,2022-02-08
Monalisa,Lojay,"113,00",3:34,Bbm,/Users/Hit/Desktop/+100/Lojay - Monalisa.mp3,3A,2022-02-08
Koko,Karen Nyame KG,"115,00",2:52,Gm,/Users/Hit/Desktop/+100/Karen Nyame KG - Koko.mp3,5A,2022-02-08
Tukuntazo,"Tokischa, Haraka Kiko & El Cherry Scom","114,00",3:17,Dm,/Users/Hit/Desktop/+100/01 Tukuntazo.m4a,7A,2022-02-08
Linda,Tokischa & ROSALÍA,"115,00",2:24,F#m,/Users/Hit/Desktop/+100/01 Linda.m4a,7A,2022-02-08
Charlotte,Prince Kaybee,"122,00",5:49,Dbm,/Users/Hit/Desktop/+100/Prince Kaybee - Charlotte.mp3,12A,2022-02-08
Team Onbeskop,Getamilli,"98,00",2:44,Ab,/Users/Hit/Desktop/+100/Getamilli - Team Onbeskop.mp3,5A,2022-02-08
Sabanaxua,Studio Bros,"125,00",5:41,Ebm,/Users/Hit/Desktop/+100/Studio Bros - Sabanaxua.mp3,2A,2022-02-08
Mafro 2.0,Soul Faya,"125,00",3:32,Gm,/Users/Hit/Desktop/+100/Soul Faya - Mafro 2.0.mp3,5A,2022-02-08
Damelo Papi,Shaqi,"125,00",2:37,Ab,/Users/Hit/Desktop/+100/Shaqi - Damelo Papi (Extended Mix).mp3,All,2022-02-08
Wicked,Juls,"127,00",3:09,Gm,/Users/Hit/Desktop/+100/Juls - Wicked.mp3,5A,2022-02-08
Amagroove,Gina Jeanz,"124,00",3:22,Fm,/Users/Hit/Desktop/+100/Gina Jeanz - Amagroove.mp3,4A,2022-02-08
Ingxolo (Ayonto Yam),Dlala Lazz,"126,00",4:35,Cm,/Users/Hit/Desktop/+100/Dlala Lazz - Ingxolo (Ayonto Yam).mp3,5A,2022-02-08
Xigubu,Dj Ganyani,"126,00",5:50,Gm,/Users/Hit/Desktop/+100/Dj Ganyani - Xigubu.mp3,3A,2022-02-08
Siyagroova,DJ LAG,"124,00",4:48,Dbm,/Users/Hit/Desktop/+100/DJ LAG - Siyagroova.mp3,12A,2022-02-08
CIDRA,D'Cantwo Jr.,"125,00",3:12,Cm,/Users/Hit/Desktop/+100/D-'Cantwo Jr. - CIDRA.mp3,5A,2022-02-08
Mudança,Barata,"126,00",6:02,Cm,/Users/Hit/Desktop/+100/Barata - Mudança.mp3,5A,2022-02-08
Don Dada,Cakes Da Killa,"125,00",3:05,Fm,/Users/Hit/Desktop/+100/Cakes Da Killa - Don Dada.mp3,9A,2022-02-08
Do It To It,Acraze,"125,00",2:37,Bm,/Users/Hit/Desktop/+100/Acraze - Do It To It.mp3,5A,2022-02-08
The Office,Gafacci,"128,00",3:47,D,/Users/Hit/Desktop/+100/Gafacci - The Office.mp3,6A,2022-02-08
O O O,Chungo,"128,00",6:30,F#m,/Users/Hit/Desktop/+100/Chungo - O O O.mp3,11A,2022-02-08
a woman is a god,Tommy Genesis,"129,00",2:58,G,/Users/Hit/Desktop/+100/Tommy Genesis - a woman is a god (BIA Remix).mp3,9A,2022-02-08
Kuribotas,Tia Maria Produções,"130,00",2:56,Bb,/Users/Hit/Desktop/+100/Tia Maria Produções - Kuribotas.mp3,2A,2022-02-08
Overload,Sugababes,"130,00",4:59,F#,/Users/Hit/Desktop/+100/Sugababes - Overload (Majestic Remix).mp3,11A,2022-02-08
Tilín,Ptazeta,"130,00",2:08,D,/Users/Hit/Desktop/+100/Ptazeta - Tilín.mp3,All,2022-02-08
Zaranza,Nerú Americano,"130,00",3:37,Fm,/Users/Hit/Desktop/+100/Nerú Americano - Zaranza.mp3,4A,2022-02-08
Sensei,Karen Nyame KG,"129,00",4:33,Dbm,/Users/Hit/Desktop/+100/Karen Nyame KG - Sensei.mp3,12A,2022-02-08
Waves,Hagan,"130,00",4:17,F#m,/Users/Hit/Desktop/+100/Hagan - Waves.mp3,11A,2022-02-08
Swervin',DJ Polo,"130,00",4:30,F#,/Users/Hit/Desktop/+100/DJ Polo - Swervin-'.mp3,3A,2022-02-08
Condo,Afro B,"130,00",2:57,Em,/Users/Hit/Desktop/+100/Afro B - Condo (DJ Q Remix).mp3,9A,2022-02-08
X,Tinashe,"135,00",2:51,Eb,/Users/Hit/Desktop/+100/Tinashe - X.mp3,4A,2022-02-08
Pelele,Morad,"145,00",3:36,F#m,/Users/Hit/Desktop/+100/Morad - Pelele.mp3,12A,2022-02-08
Sugar Mami,La Zowi,"98,00",2:56,Dm,/Users/Hit/Desktop/+100/La Zowi - Sugar Mami.mp3,8A,2022-02-08
Sweet,Kwaku DMC,"140,00",2:03,Cm,/Users/Hit/Desktop/+100/Kwaku DMC - Sweet.mp3,5A,2022-02-08
JOY WITH ME,DJ LAWY,"130,64",1:21,Ab,/Users/Hit/Desktop/+100/DJ LAWY - JOY WITH ME.mp3,2A,2022-02-08
Violin,Cookiee Kawaii,"140,03",1:44,D,/Users/Hit/Desktop/+100/Cookiee Kawaii - Violin.mp3,8A,2022-02-08
Jacques a dit,Camro,"100,00",3:03,Am,/Users/Hit/Desktop/+100/Camro - Jacques a dit.mp3,8A,2022-02-08
SAME HANDS (feat. Lil Durk),BIA,"75,00",3:26,F#m,/Users/Hit/Desktop/+100/BIA - SAME HANDS (feat. Lil Durk).mp3,2A,2022-02-08
