,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm,subdir,subdir_idx
289,partout,Lunice,eWCeKTyP1so,Lunice - Partout,2 years ago,6033.0,2:33,153.0,LuckyMe Records,10,"LuckyMe, Master",128.0,main,5398
301,ninia,Maria Sioke;Pedro LaDroga,z7NHB3Zdv4E,"MARIA SIOKE, Pedro Ladroga - NINIA",1 year ago,61468.0,3:23,203.0,MARIA SIOKE,142,Pop;Latin Music,94.0,main,5594
303,todo os dias,MC Buzzz;King Doudou,yCgc29HuRoQ,MC Buzzz - Todo Os Dias,1 year ago,36174.0,2:47,167.0,MC BUZZZ,21,Rap/Hip Hop;Latin Music,130.0,main,5636
304,bum bum tam tam - avi s remix,MC Fioti,ZCdFGgW1rtM,MC Fioti - Bum Bum Tam Tam (AVI S Reflip),4 years ago,3969944.0,2:44,164.0,Xorks TV,425,,128.0,main,5646
318,sentah (feat. bryte),"Mina, Bryte",laxIOHgjTVU,Mina - Sentah (feat. Bryte),4 years ago,131160.0,3:09,189.0,ENCHUFADA,16,,125.0,main,5846
319,i'm better (feat. lamb),Missy Elliott,TwyPsUd9LAk,Missy Elliott - I'm Better (feat. Lamb) [Official Music Video],4 years ago,39216984.0,3:40,220.0,Missy Elliott,2642,Hip-Hop/Rap,105.0,main,5918
326,tu sicaria,Ms Nina;Beauty Brain,AqLAKlkRM30,♥  Ms Nina ♥   -   Tu Sicaria Prod  Beauty Brain,4 years ago,40756850.0,2:25,145.0,Ms Nina,2172,Rap/Hip Hop;Reggaeton;Reggae,98.0,main,5998
333,trabajo,Murda,jn1ieqwc6z0,Murda - Trabajo (prod. Yung Felix),3 years ago,8100051.0,2:26,146.0,noahsarklabel,530,Rap/Hip Hop,108.0,main,6058
337,business woman,Nathy Peluso,4B614TAin4s,Nathy Peluso - BUSINESS WOMAN,1 year ago,13110161.0,3:57,237.0,Nathy Peluso,2078,Rap/Hip Hop;Pop;Latin Pop,83.0,main,6154
349,frontline,Pa Salieu,IaQjlagBnG0,Pa Salieu - Frontline (Music Video) | @MixtapeMadness,1 year ago,4470937.0,3:25,205.0,Mixtape Madness,1631,Rap/Hip Hop,97.5,main,6427
351,stuck on you,Pedro/Bryte,_1kNoTq1FLI,PEDRO - Stuck On You (feat. Bryte) [LYRIC VIDEO],1 year ago,22561.0,2:51,171.0,ENCHUFADA,14,Electro;Dance;Disco,130.0,main,6443
359,cono,Puri;Jhorrmountain;Adje,uE7b5Q7wtSw,Puri x Jhorrmountain x Adje - Coño (Official Audio),3 years ago,47641407.0,2:18,138.0,Spinnin' Records,1616,Dance,100.0,main,6618
360,metelo,Puri;Kilate Tesla;Adje;Dopebwoy,aUoMkoBMstI,"Puri, KILATE TESLA & Adje – Metelo ft. Dopebwoy",2 years ago,469278.0,3:04,184.0,Artsounds,65,Rap/Hip Hop,100.0,main,6640
364,dumebi (s!rene edit),Rema,zUU1bIWpH5c,Rema - Dumebi ( Official Music Video ),2 years ago,42759916.0,3:16,196.0,Rema,1985,,109.97,main,6690
370,a pale,Rosalía,5zwpwbdGNIk,ROSALÍA - A Palé (Official Video),1 year ago,42070111.0,2:23,143.0,ROSALÍA,898,Pop,123.01,main,6800
372,"yo x ti, tu x mi",Rosalía;Ozuna,2j3x0VYnehg,"ROSALÍA, Ozuna - Yo x Ti, Tu x Mi (Official Video)",1 year ago,413233345.0,3:28,208.0,ROSALÍA,725,Latin Music,92.0,main,6811
378,rover (feat. dtg),S1mba;DTG,lcUq0DDt0Ro,S1MBA ft. DTG - Rover (Mu la la) [Music Video] | Link Up TV,1 year ago,21869082.0,2:47,167.0,Link Up TV,1934,Rap/Hip Hop,108.0,main,6905
383,tap in,Saweetie,jUIrolORx6M,Saweetie - Tap In [Official Music Video],1 year ago,48130592.0,2:31,151.0,Official Saweetie,1143,Rap/Hip Hop,100.0,main,6993
385,gimme the light,Sean Paul,8MmW_GOFS8I,Sean Paul - Gimme The Light (Official Video),11 years ago,62042586.0,3:28,208.0,Atlantic Records,1808,Pop,107.18,main,7015
386,like glue,Sean Paul ,0zZ2bifb338,Sean Paul - Like Glue (Official Video),11 years ago,116275306.0,4:16,256.0,Atlantic Records,2029,,97.9,main,7034
389,patsergedrag,Sevn Alias;Boef,aNv27umOfIY,Sevn Alias ft. Lil Kleine & Boef - Patsergedrag (Prod. Jack $hirak),3 years ago,33242685.0,3:14,194.0,RotterdamAirlines,2052,Rap/Hip Hop,124.0,main,7062
390,big man,Sevn Alias;Mula B;Trobeats,D251IpT-y4k,Sevn Alias - Big Man ft. Mula B & Trobi (prod. Trobi & Deauxnuts),2 years ago,8958395.0,2:44,164.0,1OAK-TV,798,Rap/Hip Hop,96.0,main,7071
392,dobale,Shaybo,ZdwzYQGG7ww,Shaybo - Dobale (Official Video),9 months ago,1276683.0,2:34,154.0,Shaybo,725,Rap/Hip Hop,97.0,main,7127
393,ya dun know,Shaybo,W-kO6OCd5RA,Shaybo - Ya Dun Know [Music Video] | Link Up TV,1 year ago,866891.0,3:03,183.0,Link Up TV,331,Rap/Hip Hop,100.0,main,7138
402,lemonade,Sophie,LdLvp630plc,SOPHIE - LEMONADE (Official Stream),7 years ago,1975779.0,1:59,119.0,Numbers.,1121,Bass,142.99,main,7405
409,bipp,SOPHIE,MVc3Z-bG6Eo,SOPHIE - BIPP (Official Stream),8 years ago,2259406.0,3:01,181.0,Numbers.,778,PC Music,124.0,main,7444
411,soco,Starboy;Wizkid;Ceeza Milli;Spotless;Terri,9qz7lMsFUJU,"StarBoy - Soco ft. Wizkid, Ceeza Milli, Spotless, Terri (Audio)",3 years ago,40191056.0,4:17,257.0,StarBoy TV,1435,,108.0,main,7480
420,tu me haces sentir,Swallow X;Nico Miseria,sLp4W8BSMFs,Swallow X w/ Nico Miseria - Tu me haces sentir (Music Video),1 year ago,11858.0,3:29,209.0,Swallow X,38,Rap/Hip Hop;Pop,113.0,main,7632
439,top winners (feat. not3s),Tinie;Not3s,mxkHdxIfn2g,Tinie - Top Winners ft. Not3s (Official Video),1 year ago,1788876.0,3:00,180.0,Tinie,447,Rap/Hip Hop,108.0,main,7899
441,i'm on (clean),Tion Wayne ft. Kojo Funds,A4qwTmUbplg,Tion Wayne Ft. Kojo Funds – I'm On (Clean),3 years ago,5625.0,2:54,174.0,Clean UK Edits,12,,102.0,main,7939
449,mahabbah,Tropkillaz,UYVObSs-tlk,Tropkillaz - Mahabbah (Official Full Stream),5 years ago,384935.0,2:59,179.0,Mad Decent,63,Electronic,103.0,main,8062
453,swish (dirty),Tyga,ScdQQfAjFTk,Tyga - SWISH (Official Music Video),3 years ago,210198680.0,3:15,195.0,Tyga,1957,,105.0,main,8188
455,buk,Valsbezig,yH9OxZYyQxg,ValsBezig - BUK (prod. DentaBeats),3 years ago,15706436.0,2:51,171.0,TopNotch,667,Rap/Hip Hop,102.0,main,8242
459,proper english,Vybz Kartel,C7eebGQ_1xQ,Vybz Kartel - Proper English,3 years ago,278171.0,3:58,238.0,StreetfrassMusic,125,Modern Dancehall,87.3,main,8327
461,under water,Vybz Kartel,uPl-uvr4mDk,Vybz Kartel - Under Water (Official Animated Video),3 years ago,17773748.0,2:57,177.0,VybzKartelVEVO,2272,Reggae;Dancehall/Ragga,93.0,main,8362
464,tur-key nla,Wande Coal,maS32H8UWEQ,Wande Coal - Tur-Key Nla [Official Video],3 years ago,3622533.0,3:58,238.0,Wande Coal,414,Rap/Hip Hop,125.0,main,8388
469,daddy yo,Wizkid,_2uqOvEo2bQ,WizKid - Daddy Yo,4 years ago,20503571.0,2:44,164.0,StarBoy TV,1882,,99.0,main,8443
471,essence (feat. tems),Wizkid;Tems,jipQpjUA_o8,WizKid - Essence (Official Video) ft. Tems,3 months ago,17513467.0,4:06,246.0,StarBoy TV,1254,R&B,104.0,main,8468
477,new bike,Yibril Rue;Mishii,3tP9XL-uIqA,Yibril Rue - New bike feat. Mishii (Track 1),1 year ago,8508.0,2:25,145.0,Yibril Rue,38,Rap/Hip Hop;Dirty South,118.0,main,8533
479,4x4,Young T & Bugsey,3ZFqCXO2zKY,Young T & Bugsey - 4x4 [Music Video] | GRM Daily,3 years ago,6369571.0,3:43,223.0,GRM Daily,456,Hip-Hop,104.0,main,8547
480,don't rush,Young T & Bugsey;Headie One,ouCuyQI9pXc,Young T & Bugsey - Don't Rush (ft. Headie One) [Music Video] | GRM Daily,1 year ago,79323178.0,3:32,212.0,GRM Daily,1442,Rap/Hip Hop,108.0,main,8557
481,oeff,Yung Felix;Poke,EbKmCKgDqTw,Yung Felix & Poke - OEFF,2 years ago,16103368.0,2:21,141.0,noahsarklabel,1894,Rap/Hip Hop,120.0,main,8583
482,mr lova,Yung Felix;Zefanio;Ir Sais,GpVecE6OWYA,Yung Felix - Mr Lova ft. Zefanio & Ir Sais,2 years ago,3482894.0,2:42,162.0,noahsarklabel,274,Rap/Hip Hop,95.0,main,8598
493,desacato escolar,"Leo RD, Tokischa & Yomel El Meloso",MOH4tohTDMI,Tokischa X Yomel El Meloso - Desacato Escolar - (Video Oficial),1 year ago,12442990.0,2:14,134.0,Leord Produciendo,2298,,110.0,additional_lisboa,0
494,linda,Tokischa & ROSALÍA,CmmTz3W-JO0,Tokischa x ROSALÍA - Linda (Official Video),6 months ago,67264520.0,2:55,175.0,Tokischa,843,,115.0,additional_lisboa,2
495,tukuntazo,"Tokischa, Haraka Kiko & El Cherry Scom",y8jyhfaoly8,Tokischa x Haraca Kiko x El Cherry Scom - Tukuntazo  (Video Oficial),1 year ago,20134602.0,3:22,202.0,Tokischa,1268,,114.0,additional_lisboa,3
504,do it to it,Acraze,6wwuEXlIniU,ACRAZE - Do It To It (Ft. Cherish),6 months ago,27488086.0,3:24,204.0,SubSoul,1840,,125.0,additional_lisboa,16
505,condo,Afro B,gx329LKomVA,Afro B ft. T-Pain - Condo (Official Video),1 year ago,7280999.0,2:52,172.0,Afro B,1254,,130.0,additional_lisboa,17
506,sad girlz luv money,amaarae,9ni1BbREPHs,Amaarae - SAD GIRLZ LUV MONEY Remix ft Kali Uchis (Lyric Video),2 months ago,13950571.0,3:25,205.0,Amaarae,845,,110.03,additional_lisboa,18
509,flow 2000,Bad Gyal,Y3XacUKTdHc,Bad Gyal - Flow 2000 (Official Video),4 months ago,7415584.0,2:43,163.0,Bad Gyal,2043,,95.1,additional_lisboa,21
510,mudanca,Barata,LcEHXCRTWnA,Dj Barata - Mudança (Original Mix) 2k17,5 years ago,2537539.0,6:03,363.0,ZK MUSIC,126,,126.0,additional_lisboa,22
511,same hands (feat. lil durk),BIA,gVB6gadN22k,BIA - SAME HANDS (Official Music Video) ft. Lil Durk,1 year ago,3207056.0,2:51,171.0,BIA,1474,,75.0,additional_lisboa,23
513,atm,Bree Runway,xr35zhcfd2g,Bree Runway - ATM ft. Missy Elliott,1 year ago,5500441.0,3:19,199.0,Bree Runway,2486,,111.0,additional_lisboa,25
514,b. d'or (feat. wizkid),Burna Boy,yNTkoLf5x5U,Burna Boy - B. D'OR feat. WizKid [Official Music Video],2 months ago,8607522.0,3:13,193.0,Burna Boy,3141,,104.0,additional_lisboa,26
515,don dada,Cakes Da Killa,2MxT6PePWZQ,Cakes Da Killa x Proper Villains - Don Dada (Official Music Video),1 year ago,108698.0,4:45,285.0,Classic Music Company,170,,125.0,additional_lisboa,27
516,jacques a dit,Camro,SijX6_xxS-w,Camro - Jacques A Dit (Clip Officiel) #PetitCoquin,4 years ago,774334.0,4:18,258.0,CamRoOfficiel,77,,100.0,additional_lisboa,28
517,domme invest,Chivv,HS8Ehl5t68c,Chivv - Domme Invest Ft. Dopebwoy & Boef (prod. FRNKIE),3 months ago,304708.0,3:05,185.0,Un4gettable Music,142,,105.0,additional_lisboa,29
519,violin,Cookiee Kawaii,al8WckuGOAg,Cookiee Kawaii - Violin (Visualizer) (feat. Dear Silas),7 months ago,1344223.0,1:50,110.0,Cookiee Kawaii,470,,140.03,additional_lisboa,31
