Name	Artist	Genre	AverageBpm	Comments
Move To The Gal Dem (Remix Featuring BBK)	Donaeo 	Funky	128.00	1A
My Circle Remix (Dirty)	Donaeo ft. Cadet, Wiley, & Ghetts		128.00	12A
I Feel Love [Original 12']	Donna Summer		128.23	
Cartier (feat. Chivv & 3robi)	Dopebwoy	Hip-Hop/Rap	127.00	9A
Come & Go	Dopebwoy;Kalibwoy;Latifah	Rap/Hip Hop	100.01	7A
Santo Domingo	Dopebwoy;Yxng Bane	Rap/Hip Hop	98.00	4A
Barbie Boy (feat. Sega Bodega)	Dorian Electra;Sega Bodega	Pop	82.96	1A
Marimba Rija	Dotorado Pro	Electronic	130.00	8A
Jasmine (Dubbel Dutch RMX)	Dougie F ft. DJ Fire	Other	137.96	2B
Controlla	Drake	Hip-Hop/Rap	93.50	
One Dance (feat. Wizkid & Kyla)	Drake	Hip-Hop/Rap	104.00	3A
Fake Love	Drake	Hip-Hop/Rap	134.00	8A
In My Feelings - Satoru Hype Edit (Dirty)	Drake		91.00	4B
In My Feelings (Dirty)	Drake		91.00	5A
God's Plan (Dirty)	Drake		154.40	
Fake Love (DJ Stepwise Favela Mix)	Drake ft. MC Brinquedo		134.01	7A
Rollcage	Dro Carey	:')	140.00	9A
Hello (CAPSUN Flip)	Dugong Jr x Mindless Behaviour x CAPSUN		128.00	4A
Ready (Dirty)	Dun D		100.00	7A - Energy 6
Creep	DUVV	R&B/Soul	116.00	12A - Energy 5
Chop Chop	DyDy;Gold Gad	Reggae;Dancehall/Ragga	99.00	6A
Jorja Smith - On My Mind (DYNE BAILE REMIX)	DYNE		126.00	
REALLY HOT BAILE	DYNE		124.97	6A
Congo (Awwz Remix 2020)	Egosex	Electro;Dance	95.00	5A
Drive Me Crazy	Elhae	R&B/Hip-Hop	121.00	
Afro Jungle 2K16	Emile Laurent	Afro House	126.00	8B
German - Satoru Club Mix	EO		103.00	1A
Think It Through	Equator Club	Future 90s	124.00	4A
Gotta Have It	Equator Club & Aztek		135.00	7A
3 - Return	Eric BLUEMEL		125.03	5A
Martina	Eso.XO.Supreme	R&B/Soul	79.01	1A
Pure	Esta	SOULECTION	140.00	7A
Cumbiastrumental	Eternos		170.00	Visit https://sophisticateddelinquency.bandcamp.com
Tick Tock	Eugy	World	120.00	10A
Body (feat. Mr Eazi)	Eugy		100.00	8A
Hinode	Fakear		172.00	8A
